Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
A perfect blackbody radiates at 500 K. What is its peak emission wavelength? (Wien displacement constant = 2.898e-3 m·K),Thermal Radiation,5.796e-06,,0.005796,5.796000000000001e-06,A perfect blackbody radiates at var_A K. What is its peak emission wavelength? ( Wien displacement constant = var_B e - var_C m·K ),"To find the peak emission wavelength of a perfect blackbody radiating at a given temperature, follow these steps:

1. **Identify the formula**: Use Wien's Displacement Law, which states that the peak wavelength (λ_max) is inversely proportional to the temperature (T) of the blackbody. The formula is given by λ_max = b / T, where b is the Wien displacement constant.

2. **Substitute the known values**: Insert the value of the Wien displacement constant (b) and the temperature (T) into the formula.

3. **Calculate the peak wavelength**: Perform the division of the Wien displacement constant by the temperature to find the peak emission wavelength.

4. **Interpret the result**: Understand that the result will give you the wavelength at which the blackbody emits the most radiation at the specified temperature. 

5. **Convert units if necessary**: If the result needs to be in a specific unit (like nanometers), convert the wavelength accordingly",var_B / var_A,"def solution(var_A, var_B, var_C):
    b = var_B * 10**-var_C  # Calculate the Wien displacement constant
    lambda_max = b / var_A  # Calculate the peak emission wavelength
    return lambda_max","{'var_A': 500.0, 'var_B': 2.898, 'var_C': 3.0}",True,'Code_Result'
A fuel cell generates 0.7 V with hydrogen and oxygen. What electrical power does it produce at 2 A current?,Electrochemistry,1.4,1.4,1.4,1.4,A fuel cell generates var_A V with hydrogen and oxygen. What electrical power does it produce at var_B A current?,"1. Identify the relationship between voltage, current, and power using the formula: Power = Voltage × Current.
2. Substitute the given voltage of the fuel cell into the power formula.
3. Substitute the given current into the power formula.
4. Calculate the electrical power produced by multiplying the voltage by the current.",var_A * var_B,"def solution(var_A, var_B):
    power = var_A * var_B
    return power","{'var_A': 0.7, 'var_B': 2.0}",False,
A 2 kg mass is attached to a spring with spring constant 50 N/m. What is the period of oscillation in seconds?,Simple Harmonic Motion,1.26,1.2566370614359172,1.256636,1.2566370614359172,A var_A kg mass is attached to a spring with spring constant var_B N / m. What is the period of oscillation in seconds?,"To find the period of oscillation of a mass attached to a spring, follow these steps:

1. **Identify the formula for the period of a mass-spring system**: The period \( T \) of oscillation can be calculated using the formula \( T = 2\pi \sqrt{\frac{m}{k}} \), where \( m \) is the mass and \( k \) is the spring constant.

2. **Substitute the known values into the formula**: Use the given mass and spring constant in the formula.

3. **Calculate the ratio of mass to spring constant**: Compute \( \frac{m}{k} \) to simplify the expression under the square root.

4. **Take the square root**: Find the square root of the result from the previous step.

5. **Multiply by \( 2\pi \)**: Finally, multiply the square root by \( 2\pi \) to find the period \( T \).",2 * 3.14159 * (var_A / var_B) ** 0.5,"def solution(var_A, var_B):
    import math
    T = 2 * math.pi * math.sqrt(var_A / var_B)
    return T","{'var_A': 2.0, 'var_B': 50.0}",False,
"A company's revenue grows by 5% each year. If the initial revenue is $1000, What will be the revenue after 3 years?",Compound Growth,1157.63,1157.6250000000002,1157.6250000000002,1157.6250000000002,A company's revenue grows by var_A % each year. If the initial revenue is $ var_B What will be the revenue after var_C years?,"1. Identify the initial revenue amount and the growth rate per year.
2. Use the formula for compound growth: Final Revenue = Initial Revenue × (1 + Growth Rate)^(Number of Years).
3. Substitute the initial revenue, growth rate, and number of years into the formula.
4. Calculate the growth factor (1 + Growth Rate) for each year.
5. Raise the growth factor to the power of the number of years to find the total growth multiplier.
6. Multiply the initial revenue by the total growth multiplier to find the final revenue after 3 years.",var_B * (1 + var_A / 100) ** var_C,"def solution(var_A, var_B, var_C):
    growth_rate = var_A / 100
    final_revenue = var_B * (1 + growth_rate) ** var_C
    return final_revenue","{'var_A': 5.0, 'var_B': 1000.0, 'var_C': 3.0}",False,
"A genetic mutation occurs in 2 out of 10,000 individuals. What is its prevalence as a percentage?",Epidemiology,0.02,,0.02,0.02,A genetic mutation occurs in var_A out of var_B individuals. What is its prevalence as a percentage?,"1. Identify the total number of individuals in the population, which is given as 10,000.
2. Determine the number of individuals with the genetic mutation, which is given as 2.
3. Use the formula for prevalence as a percentage: 
   \[
   \text{Prevalence} = \left( \frac{\text{Number of individuals with the mutation}}{\text{Total number of individuals}} \right) \times 100
   \]
4. Substitute the known values into the formula.
5. Calculate the result to find the prevalence as a percentage.",(var_A / var_B) * 100,"def solution(var_A, var_B):
    total_individuals = 10000
    prevalence = (var_A / total_individuals) * 100
    return prevalence","{'var_A': 2.0, 'var_B': 10000.0}",True,'Code_Result'
A molecular motor moves 10 nm per ATP hydrolysis. How many steps to move 1 μm?,Cellular Biomechanics,100,100.0,100.0,100.0,A molecular motor moves var_A nm per ATP hydrolysis. How many steps to move var_B μm?,"1. Identify the total distance to be covered, which is 1 μm.
2. Identify the distance moved per ATP hydrolysis, which is 10 nm.
3. Convert the total distance from μm to nm for consistency in units.
4. Use the formula for the number of steps: Total distance (in nm) divided by distance per step (in nm).
5. Calculate the result to find the total number of steps required to move 1 μm.",(var_B * 1e3) / var_A,"def solution(var_A, var_B):
    total_distance_nm = var_B * 1e3  # Convert μm to nm
    distance_per_step_nm = var_A
    total_steps = total_distance_nm / distance_per_step_nm
    return total_steps","{'var_A': 10.0, 'var_B': 1.0}",False,
A microorganism population grows logistically from 100 to 1000 cells. What is its carrying capacity? (at halfway point),Population Dynamics,500,550.0,550.0,550.0,A microorganism population grows logistically from var_A to var_B cells. What is its carrying capacity? ( at halfway point ),"1. Understand the concept of carrying capacity in a logistic growth model, which is the maximum population size that the environment can sustain.

2. Identify that the carrying capacity can be determined by finding the halfway point between the initial population and the maximum population.

3. Calculate the halfway point by taking the average of the initial population and the maximum population.

4. Use the formula for the halfway point: (initial population + maximum population) / 2.

5. Conclude that the carrying capacity is the result obtained from the calculation in step 4.",(var_A + var_B) / 2,"def solution(var_A, var_B):
    carrying_capacity = (var_A + var_B) / 2
    return carrying_capacity","{'var_A': 100.0, 'var_B': 1000.0}",False,
"A company's profit margin is 15%. If their revenue is $1000, What is their profit?",Profit Calculation,150.0,150.0,150.0,150.0,A company's profit margin is var_A %. If their revenue is $ var_B What is their profit?,"1. Identify the formula for profit, which is calculated as Profit = Revenue × Profit Margin.
2. Substitute the given revenue into the formula.
3. Convert the profit margin percentage into decimal form for calculation.
4. Multiply the revenue by the decimal form of the profit margin to find the profit.",var_B * (var_A / 100),"def solution(var_A, var_B):
    profit_margin_decimal = var_A / 100
    profit = var_B * profit_margin_decimal
    return profit","{'var_A': 15.0, 'var_B': 1000.0}",False,
A recombinant protein has a production rate of 0.5 mg/L per hour. What is its yield after 48 hours in a 10 L bioreactor?,Biotechnology,240,240.0,240.0,240.0,A recombinant protein has a production rate of var_A mg / L per hour. What is its yield after var_B hours in a var_C L bioreactor?,"1. Identify the production rate of the recombinant protein, which is given in mg/L per hour.
2. Determine the total volume of the bioreactor, which is given in liters.
3. Calculate the total production rate over the specified time period (in hours) by multiplying the production rate by the time duration.
4. Multiply the total production rate by the volume of the bioreactor to find the total yield of the recombinant protein.
5. Ensure that the units are consistent throughout the calculations to arrive at the final yield in mg.",var_A * var_B * var_C,"def solution(var_A, var_B, var_C):
    total_production_rate = var_A * var_B
    total_yield = total_production_rate * var_C
    return total_yield","{'var_A': 0.5, 'var_B': 48.0, 'var_C': 10.0}",False,
A capacitor stores 0.005 C of charge at 12 V potential difference. What is its capacitance in Farads?,Electrical Capacitance,0.000417,0.0004166666666666667,0.0004166666666666667,0.0004166666666666667,A capacitor stores var_A C of charge at var_B V potential difference. What is its capacitance in Farads?,"To find the capacitance of the capacitor, follow these rough steps:

1. **Identify the formula for capacitance**: Recall that capacitance (C) is defined by the formula \( C = \frac{Q}{V} \), where Q is the charge stored and V is the potential difference.

2. **Substitute the known values**: Use the given charge (0.005 C) and the potential difference (12 V) in the capacitance formula.

3. **Perform the division**: Calculate the capacitance by dividing the charge by the potential difference.

4. **Express the result in Farads**: Ensure that the final answer is expressed in the appropriate unit of capacitance, which is Farads. 

5. **Interpret the result**: Understand what the calculated capacitance value indicates about the capacitor's ability to store charge at a given voltage.",var_A / var_B,"def solution(var_A, var_B):
    capacitance = var_A / var_B
    return capacitance","{'var_A': 0.005, 'var_B': 12.0}",False,
A neurotransmitter concentration changes from 50 to 75 nM in synaptic cleft. What is its relative concentration change in percentage?,Neurochemistry,50.0,50.0,50.0,50.0,A neurotransmitter concentration changes from var_A to var_B nM in synaptic cleft. What is its relative concentration change in percentage?,"To find the relative concentration change in percentage, follow these steps:

1. **Identify Initial and Final Concentrations**: Recognize the initial concentration and the final concentration of the neurotransmitter.

2. **Calculate the Change in Concentration**: Subtract the initial concentration from the final concentration to find the absolute change.

3. **Use the Percentage Change Formula**: Apply the formula for percentage change, which is: 
   \[
   \text{Percentage Change} = \left( \frac{\text{Change in Concentration}}{\text{Initial Concentration}} \right) \times 100
   \]

4. **Substitute Values into the Formula**: Plug the absolute change and the initial concentration into the percentage change formula.

5. **Calculate the Result**: Perform the calculation to find the relative concentration change in percentage. 

By following these steps, you will arrive at the relative concentration change in percentage.",((var_B - var_A) / var_A) * 100,"def solution(var_A, var_B):
    change_in_concentration = var_B - var_A
    percentage_change = (change_in_concentration / var_A) * 100
    return percentage_change","{'var_A': 50.0, 'var_B': 75.0}",False,
"A viral load decreases from 100,000 to 1,000 copies/mL after treatment. What is the log reduction?",Virology,2.0,,,,A viral load decreases from var_A to var_B copies / mL after treatment. What is the log reduction?,"To find the log reduction in viral load, follow these rough steps:

1. **Identify the initial and final values**: Recognize that the initial viral load is the higher value and the final viral load is the lower value.

2. **Use the log reduction formula**: The log reduction can be calculated using the formula: 
   \[
   \text{Log Reduction} = \log_{10} \left( \frac{\text{Initial Value}}{\text{Final Value}} \right)
   \]

3. **Substitute the values into the formula**: Plug the initial and final viral load values into the log reduction formula.

4. **Calculate the logarithm**: Compute the logarithm of the ratio obtained in the previous step.

5. **Interpret the result**: Understand that the result represents the log reduction in viral load, indicating how many times the viral load has decreased in logarithmic terms.",log10(var_A / var_B),"def solution(var_A, var_B):
    import math
    return math.log10(var_A / var_B)","{'var_A': 100000.0, 'var_B': 1000.0}",True,"float() argument must be a string or a real number, not 'NoneType'"
A solution has a pH of 3. What is the concentration of H⁺ ions in mol/L? What is [H⁺]?,pH and H⁺ Concentration,0.001,0.001,0.001,0.001,A solution has a pH of var_A What is the concentration of H⁺ ions in mol / L? What is [H⁺]?,"To find the concentration of H⁺ ions in mol/L from the given pH, follow these steps:

1. **Understand the pH scale**: Recall that pH is defined as the negative logarithm (base 10) of the concentration of H⁺ ions. The formula is:  
   \[ \text{pH} = -\log[H^+] \]

2. **Rearrange the formula**: To find the concentration of H⁺ ions, rearrange the formula to solve for [H⁺]:  
   \[ [H^+] = 10^{-\text{pH}} \]

3. **Substitute the given pH**: Plug the given pH value into the rearranged formula to calculate [H⁺].

4. **Calculate the concentration**: Use a calculator or logarithmic tables to compute the value of [H⁺] based on the substituted pH.

5. **Interpret the result",10**(-var_A),"def solution(var_A):
    return 10 ** (-var_A)",{'var_A': 3.0},False,
The focal length of a convex lens is 20 cm. An object is placed 30 cm from the lens. At what distance from the lens does the image form?,Lens Equation,60.0,,0.08333333333333334,59.999999999999986,The focal length of a convex lens is var_A cm. An object is placed var_B cm from the lens. At what distance from the lens does the image form?,"To solve the problem, follow these rough steps:

1. **Identify the Lens Formula**: Use the lens formula, which is given by \( \frac{1}{f} = \frac{1}{v} - \frac{1}{u} \), where \( f \) is the focal length, \( v \) is the image distance, and \( u \) is the object distance.

2. **Substitute Known Values**: Substitute the known values into the lens formula. Here, \( f \) is the focal length of the lens, and \( u \) is the distance of the object from the lens.

3. **Rearrange the Formula**: Rearrange the lens formula to solve for \( v \) (the image distance).

4. **Calculate the Image Distance**: Perform the calculation to find the value of \( v \) using the rearranged formula.

5. **Interpret the Result**: Determine the nature of the image (real",1/(var_A) + 1/(var_B),"def solution(var_A, var_B):
    f = var_A
    u = -var_B
    v = 1 / ((1 / f) + (1 / u))
    return v","{'var_A': 20.0, 'var_B': 30.0}",True,'Code_Result'
A light bulb operates at 100 W and 220 V. What is the current through the bulb?,Electric Power,0.4545,0.45454545454545453,0.45454545454545453,0.45454545454545453,A light bulb operates at var_A W and var_B V. What is the current through the bulb?,"1. Identify the relationship between power, voltage, and current using the formula: Power (P) = Voltage (V) × Current (I).
2. Rearrange the formula to solve for current: Current (I) = Power (P) / Voltage (V).
3. Substitute the given values of power and voltage into the rearranged formula.
4. Perform the division to find the current through the bulb.",var_A / var_B,"def solution(var_A, var_B):
    return var_A / var_B","{'var_A': 100.0, 'var_B': 220.0}",False,
A car accelerates from 0 to 20 m/s in 10 seconds. What is its acceleration in m/s²?,Acceleration,2.0,2.0,2.0,2.0,A car accelerates from var_A to var_B m / s in var_C seconds. What is its acceleration in m / s²?,"1. Identify the initial velocity of the car, which is 0 m/s.
2. Identify the final velocity of the car, which is 20 m/s.
3. Identify the time taken for the acceleration, which is 10 seconds.
4. Use the formula for acceleration, which is defined as the change in velocity divided by the time taken: 
   \[ \text{Acceleration} = \frac{\text{Final Velocity} - \text{Initial Velocity}}{\text{Time}} \]
5. Substitute the known values into the formula to calculate the acceleration.",(var_B - var_A) / var_C,"def solution(var_A, var_B, var_C):
    initial_velocity = var_A
    final_velocity = var_B
    time = var_C
    acceleration = (final_velocity - initial_velocity) / time
    return acceleration","{'var_A': 0.0, 'var_B': 20.0, 'var_C': 10.0}",False,
"A quantum spin-1/2 particle experiences a magnetic field of 1 Tesla. What is its Larmor precession frequency? (ℏ = 1.055e-34 J·s, electron g-factor = 2, μB = 9.274e-24 J/T)",Quantum Magnetism,176000000000.0,,0.5170894898243658,175810426540.28436,"A quantum spin - var_A / var_B particle experiences a magnetic field of var_C Tesla. What is its Larmor precession frequency? ( ℏ = var_D e - var_E J·s, electron g - factor = var_F μB = var_G e - var_H J / T )","To find the Larmor precession frequency of a quantum spin-1/2 particle in a magnetic field, follow these rough steps:

1. **Identify the formula for Larmor frequency**: The Larmor precession frequency (ω) can be calculated using the formula:  
   ω = (g * μ * B) / ℏ  
   where g is the electron g-factor, μ is the magnetic moment, B is the magnetic field strength, and ℏ is the reduced Planck's constant.

2. **Substitute known values**: In the formula, substitute the known values for g (electron g-factor), μ (which can be expressed in terms of μB), B (the magnetic field strength), and ℏ (the reduced Planck's constant).

3. **Calculate the magnetic moment**: Use the relationship between the magnetic moment (μ) and the Bohr magneton (μB) to express μ in terms of μB.

4. **Simplify",(var_F * var_G * var_C) / (var_D * var_E),"def solution(var_A, var_B, var_C, var_D, var_E, var_F, var_G, var_H):
    h_bar = var_D * 10**-var_E
    mu_B = var_G * 10**-var_H
    g = var_F
    mu = mu_B
    B = var_C
    omega = (g * mu * B) / h_bar
    return omega","{'var_A': 1.0, 'var_B': 2.0, 'var_C': 1.0, 'var_D': 1.055, 'var_E': 34.0, 'var_F': 2.0, 'var_G': 9.274, 'var_H': 24.0}",True,'Code_Result'
"The work function of a metal is 2.0 eV. If light of wavelength 400 nm falls on it, What is the maximum kinetic energy of ejected electrons in eV?",Photoelectric Effect,1.1,1.1017507720000008,1.1,1.1017507720000008,"The work function of a metal is var_A eV. If light of wavelength var_B nm falls on it, What is the maximum kinetic energy of ejected electrons in eV?","1. **Identify the energy of the incoming photons**: Use the formula for the energy of a photon, which is given by \( E = \frac{hc}{\lambda} \), where \( h \) is Planck's constant, \( c \) is the speed of light, and \( \lambda \) is the wavelength of the light.

2. **Calculate the energy of the photons**: Substitute the known values of \( h \), \( c \), and the given wavelength into the formula to find the energy of the photons in eV.

3. **Determine the maximum kinetic energy of the ejected electrons**: Use the photoelectric effect equation, which states that the maximum kinetic energy (KE) of the ejected electrons is given by \( KE = E - \text{work function} \), where \( E \) is the energy of the incoming photons and the work function is the given value.

4. **Perform the subtraction**: Subtract the",(1240 / var_B) - var_A,"def solution(var_A, var_B):
    h = 4.135667696e-15  # Planck's constant in eV·s
    c = 3e10  # Speed of light in cm/s
    wavelength = var_B * 1e-7  # Convert nm to cm
    E = h * c / wavelength  # Energy of the incoming photons in eV
    KE = E - var_A  # Maximum kinetic energy of ejected electrons in eV
    return KE","{'var_A': 2.0, 'var_B': 400.0}",False,
"The half-life of carbon-14 is 5730 years. If a sample has 25% of its original carbon-14, How old is it in years?",Radioactive Dating,11460.0,,,,The half - life of carbon - var_A is var_B years. If a sample has var_C % of its original carbon - var_D How old is it in years?,"1. Understand the concept of half-life, which is the time required for half of a substance to decay. For carbon-14, this is given as 5730 years.

2. Recognize that if a sample has 25% of its original carbon-14, it means that two half-lives have passed (since 50% remains after one half-life and 25% after two).

3. Use the formula for half-life: Age of the sample = Number of half-lives × Half-life duration.

4. Calculate the age of the sample by multiplying the number of half-lives (which is 2) by the half-life duration (5730 years).

5. Conclude with the final result, which will give the age of the sample in years.",var_B * (log(var_C / 100) / log(0.5)),"def solution(var_A, var_B, var_C, var_D):
    import math
    half_life = var_B
    remaining_percentage = var_C / 100
    number_of_half_lives = math.log(remaining_percentage) / math.log(0.5)
    age = number_of_half_lives * half_life
    return age","{'var_A': 14.0, 'var_B': 5730.0, 'var_C': 25.0, 'var_D': 14.0}",True,"float() argument must be a string or a real number, not 'NoneType'"
A neuron fires an action potential with a duration of 2 ms. What is its frequency of firing?,Neurophysiology,500,,0.5,500.0,A neuron fires an action potential with a duration of var_A ms. What is its frequency of firing?,"1. Understand that frequency is the reciprocal of the period (duration) of the action potential.
2. Recall the formula for frequency: Frequency = 1 / Duration.
3. Identify the duration of the action potential given in the problem.
4. Substitute the duration into the frequency formula to calculate the frequency of firing.
5. Ensure the frequency is expressed in the appropriate units (e.g., Hz).",1 / var_A,"def solution(var_A):
    frequency = 1000 / var_A  # Convert duration from ms to seconds and calculate frequency in Hz
    return frequency",{'var_A': 2.0},True,'Code_Result'
A cylinder has a radius of 3 cm and a height of 5 cm. What is its volume in cubic cm?,Volume of Cylinder,141.3,141.3716694115407,141.37155,141.3716694115407,A cylinder has a radius of var_A cm and a height of var_B cm. What is its volume in cubic cm?,"1. Identify the formula for the volume of a cylinder, which is given by the formula: Volume = π * radius² * height.

2. Substitute the known values into the formula: Use the radius of the cylinder and the height of the cylinder.

3. Calculate the area of the base of the cylinder by squaring the radius.

4. Multiply the area of the base by the height of the cylinder to find the volume.

5. Ensure to express the final answer in cubic centimeters.",3.14159 * var_A**2 * var_B,"def solution(var_A, var_B):
    import math
    volume = math.pi * (var_A ** 2) * var_B
    return volume","{'var_A': 3.0, 'var_B': 5.0}",False,
"The resistance of a circuit is 10 ohms, and the current is 2 A. What is the voltage across the circuit in volts?",Ohm's Law,20.0,20.0,20.0,20.0,"The resistance of a circuit is var_A ohms, and the current is var_B A. What is the voltage across the circuit in volts?","1. Identify the relationship between voltage, current, and resistance using Ohm's Law, which states that Voltage (V) = Current (I) × Resistance (R).

2. Substitute the known values of current and resistance into the formula: V = I × R.

3. Calculate the voltage by multiplying the current by the resistance.

4. State the final result as the voltage across the circuit in volts.",var_A * var_B,"def solution(var_A, var_B):
    voltage = var_A * var_B
    return voltage","{'var_A': 10.0, 'var_B': 2.0}",False,
"A polymer has a molecular weight of 50,000 g/mol. How many monomers are in a chain? (Assume monomer MW = 100 g/mol)",Polymer Chemistry,500,500.0,500.0,500.0,A polymer has a molecular weight of var_A g / mol. How many monomers are in a chain? ( Assume monomer MW = var_B g / mol ),"1. Identify the molecular weight of the polymer and the molecular weight of a single monomer.
2. Use the formula for the number of monomers in a polymer chain: Number of monomers = Molecular weight of polymer / Molecular weight of monomer.
3. Substitute the known values into the formula to calculate the number of monomers.
4. Ensure that the units are consistent (both molecular weights should be in g/mol).
5. Interpret the result to understand how many monomers are present in the polymer chain.",var_A / var_B,"def solution(var_A, var_B):
    number_of_monomers = var_A / var_B
    return number_of_monomers","{'var_A': 50000.0, 'var_B': 100.0}",False,
